"地域","系统","实例规格","按量目录价","包月目录价","按量折扣价","包月折扣价","1年付总价","包周价格","按量月价(30天)","3年付总价","5年付总价","架构","处理器","vCPUs","内存(GiB)","处理器主频/睿频","内网收发包","内网带宽","GPU/FPGA"
"华南 2 (河源)","windows","ecs.r9ae.16xlarge","24.3245","11675.75","24.3245","11675.75","98076.3","3269.21","17513.64","193350.42","224174.41","x86","AMD EPYC 9T95 192-Core",64,512,3.7,10000000,32768000,""
"华南 2 (河源)","windows","ecs.c9i.24xlarge","16.732","8031.34","16.732","8031.34","67463.25","2248.77","12047.04","132998.97","154201.71","x86","Intel(R) Xeon(R) 6982P-C",96,192,3.6,18000000,32768000,""
"华南 2 (河源)","windows","ecs.c9ae.24xlarge","18.4005","8832.24","18.4005","8832.24","74190.82","2473.03","13248.36","146261.89","169579.01","x86","AMD EPYC 9T95 192-Core",96,192,3.7,15000000,51200000,""
"华南 2 (河源)","windows","ecs.g9ae.24xlarge","24.254","11641.92","24.254","11641.92","97792.17","3259.74","17462.88","192790.27","223524.96","x86","AMD EPYC 9T95 192-Core",96,384,3.7,15000000,51200000,""
"华南 2 (河源)","windows","ecs.g9i.24xlarge","21.4742","10307.61","21.4742","10307.61","86583.92","2886.13","15461.42","170694.02","197906.11","x86","Intel(R) Xeon(R) 6982P-C",96,384,3.6,18000000,32768000,""
"华南 2 (河源)","windows","ecs.r9ae.24xlarge","36.4867","17513.63","36.4867","17513.63","147114.46","4903.82","26270.42","290025.64","336261.61","x86","AMD EPYC 9T95 192-Core",96,768,3.7,15000000,51200000,""
"华南 2 (河源)","windows","ecs.r9i.24xlarge","28.5729","13715.0","28.5729","13715.0","115206.01","3840.2","20572.49","227120.42","263328.02","x86","Intel(R) Xeon(R) 6982P-C",96,768,3.6,18000000,32768000,""
"华南 2 (河源)","windows","ecs.c9ae.32xlarge","24.534","11776.32","24.534","11776.32","98921.09","3297.37","17664.48","195015.86","226105.34","x86","AMD EPYC 9T95 192-Core",128,256,3.7,20000000,65536000,""
"华南 2 (河源)","windows","ecs.c9i.32xlarge","22.3093","10708.46","22.3093","10708.46","89951.07","2998.37","16062.70","177332.12","205602.45","x86","Intel(R) Xeon(R) 6982P-C",128,256,3.6,20000000,36864000,""
"华南 2 (河源)","windows","ecs.g9ae.32xlarge","32.3387","15522.57","32.3387","15522.57","130389.56","4346.32","23283.86","257053.7","298033.27","x86","AMD EPYC 9T95 192-Core",128,512,3.7,20000000,65536000,""
"华南 2 (河源)","windows","ecs.g9i.32xlarge","28.6322","13743.48","28.6322","13743.48","115445.2","3848.17","20615.18","227591.98","263874.76","x86","Intel(R) Xeon(R) 6982P-C",128,512,3.6,20000000,36864000,""
"华南 2 (河源)","windows","ecs.r9ae.32xlarge","48.649","23351.5","48.649","23351.5","196152.61","6538.42","35027.28","386700.85","448348.82","x86","AMD EPYC 9T95 192-Core",128,1024,3.7,20000000,65536000,""
"华南 2 (河源)","windows","ecs.r9i.32xlarge","38.0972","18286.67","38.0972","18286.67","153608.01","5120.27","27429.98","302827.22","351104.03","x86","Intel(R) Xeon(R) 6982P-C",128,1024,3.6,20000000,36864000,""
"华南 2 (河源)","windows","ecs.c9i.48xlarge","35.1372","16865.84","35.1372","16865.84","141673.04","4722.43","25298.78","279298.28","323824.09","x86","Intel(R) Xeon(R) 6982P-C",192,384,3.6,24000000,65536000,""
"华南 2 (河源)","windows","ecs.c9ae.48xlarge","36.801","17664.48","36.801","17664.48","148381.63","4946.05","26496.72","292523.79","339158.02","x86","AMD EPYC 9T95 192-Core",192,384,3.7,30000000,102400000,""
"华南 2 (河源)","windows","ecs.g9ae.48xlarge","48.508","23283.85","48.508","23283.85","195584.34","6519.48","34925.76","385580.55","447049.91","x86","AMD EPYC 9T95 192-Core",192,768,3.7,30000000,102400000,""
"华南 2 (河源)","windows","ecs.g9i.48xlarge","45.0958","21645.97","45.0958","21645.97","181826.16","6060.87","32468.98","358457.3","415602.66","x86","Intel(R) Xeon(R) 6982P-C",192,768,3.6,24000000,65536000,""
"华南 2 (河源)","windows","ecs.ebmg9ae.48xlarge","48.508","23283.85","48.508","23283.85","195584.34","6519.48","34925.76","385580.55","447049.91","ebm","AMD EPYC 9T95 192-Core",192,768,3.7,30000000,102400000,""
"华南 2 (河源)","windows","ecs.r9i.48xlarge","60.0031","28801.5","60.0031","28801.5","241932.63","8064.42","43202.23","476952.89","552988.86","x86","Intel(R) Xeon(R) 6982P-C",192,1536,3.6,24000000,65536000,""
"华南 2 (河源)","windows","ecs.r9ae.48xlarge","72.9734","35027.25","72.9734","35027.25","294228.91","9807.63","52540.85","580051.28","672523.22","x86","AMD EPYC 9T95 192-Core",192,1536,3.7,30000000,102400000,""
"华南 2 (河源)","windows","ecs.s6-c1m1.small","0.11","33.0","0.11","33.0","336.6","9.24","79.20","653.4","752.4","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",1,1,3.2,150000,102400,""
"华南 2 (河源)","windows","ecs.s6-c1m2.small","0.21","60.0","0.21","60.0","612.0","16.8","151.20","1188.0","1368.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",1,2,3.2,150000,102400,""
"华南 2 (河源)","windows","ecs.s6-c1m4.small","0.31","90.0","0.31","90.0","918.0","25.2","223.20","1782.0","2052.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",1,4,3.2,150000,102400,""
"华南 2 (河源)","windows","ecs.t6-c4m1.large","0.03","8.5","0.03","8.5","66.3","2.38","21.60","131.58","153.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,0.5,3.2,40000,81920,""
"华南 2 (河源)","windows","ecs.t6-c2m1.large","0.059","17.0","0.059","17.0","132.6","4.76","42.48","263.16","306.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,1,3.2,60000,81920,""
"华南 2 (河源)","windows","ecs.t6-c1m1.large","0.118","34.0","0.118","34.0","265.2","9.52","84.96","526.32","612.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,2,3.2,100000,81920,""
"华南 2 (河源)","windows","ecs.e-c1m1.large","0.0846","40.63","0.0846","17.47","131.64","11.38","60.91","292.53","414.42","x86","Intel(R) Xeon(R) Platinum",2,2,0,400000,204800,""
"华南 2 (河源)","windows","ecs.c6e.large","0.41","197.0","0.41","197.0","1536.6","55.16","295.20","3049.56","3546.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,4,3.2,900000,1228800,""
"华南 2 (河源)","windows","ecs.s6-c1m2.large","0.42","120.0","0.42","120.0","1224.0","33.6","302.40","2376.0","2736.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,4,3.2,200000,204800,""
"华南 2 (河源)","windows","ecs.t6-c1m2.large","0.236","68.0","0.236","68.0","530.4","19.04","169.92","1052.64","1224.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,4,3.2,100000,81920,""
"华南 2 (河源)","windows","ecs.e-c1m2.large","0.2025","97.2","0.2025","41.8","314.93","27.22","145.80","699.84","991.44","x86","Intel(R) Xeon(R) Platinum",2,4,0,200000,204800,""
"华南 2 (河源)","windows","ecs.hfc6.large","0.448","215.0","0.448","215.0","1677.0","60.2","322.56","3328.2","3870.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,4,3.5,300000,1024000,""
"华南 2 (河源)","windows","ecs.c6.large","0.351","168.3","0.351","168.3","1312.74","47.12","252.72","2605.28","3029.4","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,4,3.2,300000,1024000,""
"华南 2 (河源)","windows","ecs.t6-c1m4.large","0.472","136.0","0.472","136.0","1060.8","38.08","339.84","2105.28","2448.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,8,3.2,100000,81920,""
"华南 2 (河源)","windows","ecs.e-c1m4.large","0.3038","145.8","0.3038","62.69","472.39","40.82","218.74","1049.76","1487.16","x86","Intel(R) Xeon(R) Platinum",2,8,0,200000,409600,""
"华南 2 (河源)","windows","ecs.g6e.large","0.55","264.0","0.55","264.0","2059.2","73.92","396.00","4086.72","4752.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,8,3.2,900000,1228800,""
"华南 2 (河源)","windows","ecs.s6-c1m4.large","0.63","180.0","0.63","180.0","1836.0","50.4","453.60","3564.0","4104.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,8,3.2,200000,409600,""
"华南 2 (河源)","windows","ecs.hfg6.large","0.55","264.0","0.55","264.0","2059.2","73.92","396.00","4086.72","4752.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,8,3.5,300000,1024000,""
"华南 2 (河源)","windows","ecs.g6.large","0.45","216.0","0.45","216.0","1684.8","60.48","324.00","3343.68","3888.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,8,3.2,300000,1024000,""
"华南 2 (河源)","windows","ecs.r6e.large","0.729","350.0","0.729","350.0","2730.0","98.0","524.88","5418.0","6300.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,16,3.2,900000,1228800,""
"华南 2 (河源)","windows","ecs.r6.large","0.594","286.2","0.594","286.2","2232.36","80.14","427.68","4430.38","5151.6","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,16,3.2,300000,1024000,""
"华南 2 (河源)","windows","ecs.hfr6.large","0.729","350.0","0.729","350.0","2730.0","98.0","524.88","5418.0","6300.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",2,16,3.5,300000,1024000,""
"华南 2 (河源)","windows","ecs.c6.xlarge","0.702","336.6","0.702","336.6","2625.48","94.25","505.44","5210.57","6058.8","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,8,3.2,500000,1536000,""
"华南 2 (河源)","windows","ecs.s6-c1m2.xlarge","0.83","240.0","0.83","240.0","2448.0","67.2","597.60","4752.0","5472.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,8,3.2,300000,409600,""
"华南 2 (河源)","windows","ecs.c6e.xlarge","0.821","394.0","0.821","394.0","3073.2","110.32","591.12","6099.12","7092.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,8,3.2,1000000,2048000,""
"华南 2 (河源)","windows","ecs.hfc6.xlarge","0.896","430.0","0.896","430.0","3354.0","120.4","645.12","6656.4","7740.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,8,3.5,500000,1536000,""
"华南 2 (河源)","windows","ecs.e-c1m2.xlarge","0.405","194.4","0.405","143.86","1259.71","54.43","291.60","2449.44","3032.64","x86","Intel(R) Xeon(R) Platinum",4,8,0,300000,409600,""
"华南 2 (河源)","windows","ecs.g6e.xlarge","1.1","528.0","1.1","528.0","4118.4","147.84","792.00","8173.44","9504.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,16,3.2,1000000,2048000,""
"华南 2 (河源)","windows","ecs.t6-c1m4.xlarge","0.944","272.0","0.944","272.0","2121.6","76.16","679.68","4210.56","4896.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,16,3.2,200000,163840,""
"华南 2 (河源)","windows","ecs.s6-c1m4.xlarge","1.25","360.0","1.25","360.0","3672.0","100.8","900.00","7128.0","8208.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,16,3.2,300000,819200,""
"华南 2 (河源)","windows","ecs.e-c1m4.xlarge","0.6075","291.6","0.6075","215.78","1889.57","81.65","437.40","3674.16","4548.96","x86","Intel(R) Xeon(R) Platinum",4,16,0,300000,819200,""
"华南 2 (河源)","windows","ecs.hfg6.xlarge","1.1","528.0","1.1","528.0","4118.4","147.84","792.00","8173.44","9504.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,16,3.5,500000,1536000,""
"华南 2 (河源)","windows","ecs.g6.xlarge","0.9","432.0","0.9","432.0","3369.6","120.96","648.00","6687.36","7776.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,16,3.2,500000,1536000,""
"华南 2 (河源)","windows","ecs.hfr6.xlarge","1.458","700.0","1.458","700.0","5460.0","196.0","1049.76","10836.0","12600.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,32,3.5,500000,1536000,""
"华南 2 (河源)","windows","ecs.r6.xlarge","1.197","572.4","1.197","572.4","4464.72","160.27","861.84","8860.75","10303.2","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,32,3.2,500000,1536000,""
"华南 2 (河源)","windows","ecs.r6e.xlarge","1.458","700.0","1.458","700.0","5460.0","196.0","1049.76","10836.0","12600.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",4,32,3.2,1000000,2048000,""
"华南 2 (河源)","windows","ecs.c6e.2xlarge","1.642","788.0","1.642","788.0","6146.4","220.64","1182.24","12198.24","14184.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,16,3.2,1600000,3072000,"1  * 0"
"华南 2 (河源)","windows","ecs.hfc6.2xlarge","1.792","860.0","1.792","860.0","6708.0","240.8","1290.24","13312.8","15480.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,16,3.5,800000,2560000,""
"华南 2 (河源)","windows","ecs.s6-c1m2.2xlarge","1.67","480.0","1.67","480.0","4896.0","134.4","1202.40","9504.0","10944.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,16,3.2,600000,819200,""
"华南 2 (河源)","windows","ecs.c6.2xlarge","1.404","673.2","1.404","673.2","5250.96","188.5","1010.88","10421.14","12117.6","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,16,3.2,800000,2560000,""
"华南 2 (河源)","windows","ecs.e-c1m2.2xlarge","0.81","388.8","0.81","287.71","2519.42","108.86","583.20","4898.88","6065.28","x86","Intel(R) Xeon(R) Platinum",8,16,0,600000,819200,""
"华南 2 (河源)","windows","ecs.s6-c1m4.2xlarge","2.5","720.0","2.5","720.0","7344.0","201.6","1800.00","14256.0","16416.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,32,3.2,600000,1228800,""
"华南 2 (河源)","windows","ecs.g6e.2xlarge","2.2","1056.0","2.2","1056.0","8236.8","295.68","1584.00","16346.88","19008.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,32,3.2,1600000,3072000,""
"华南 2 (河源)","windows","ecs.hfg6.2xlarge","2.2","1056.0","2.2","1056.0","8236.8","295.68","1584.00","16346.88","19008.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,32,3.5,800000,2560000,""
"华南 2 (河源)","windows","ecs.e-c1m4.2xlarge","1.215","583.2","1.215","431.57","3779.14","163.3","874.80","7348.32","9097.92","x86","Intel(R) Xeon(R) Platinum",8,32,0,600000,1228800,""
"华南 2 (河源)","windows","ecs.t6-c1m4.2xlarge","1.889","544.0","1.889","544.0","4243.2","152.32","1360.08","8421.12","9792.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,32,3.2,400000,327680,""
"华南 2 (河源)","windows","ecs.g6.2xlarge","1.8","864.0","1.8","864.0","6739.2","241.92","1296.00","13374.72","15552.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,32,3.2,800000,2560000,""
"华南 2 (河源)","windows","ecs.hfr6.2xlarge","2.917","1400.0","2.917","1400.0","10920.0","392.0","2100.24","21672.0","25200.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,64,3.5,800000,2560000,""
"华南 2 (河源)","windows","ecs.r6.2xlarge","2.385","1144.8","2.385","1144.8","8929.44","320.54","1717.20","17721.5","20606.4","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,64,3.2,800000,2560000,""
"华南 2 (河源)","windows","ecs.r6e.2xlarge","2.917","1400.0","2.917","1400.0","10920.0","392.0","2100.24","21672.0","25200.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",8,64,3.2,1600000,3072000,"1  * 0"
"华南 2 (河源)","windows","ecs.hfc6.3xlarge","2.688","1290.0","2.688","1290.0","10062.0","361.2","1935.36","19969.2","23220.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",12,24,3.5,900000,4096000,""
"华南 2 (河源)","windows","ecs.c6.3xlarge","2.106","1009.8","2.106","1009.8","7876.44","282.74","1516.32","15631.7","18176.4","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",12,24,3.2,900000,4096000,""
"华南 2 (河源)","windows","ecs.hfg6.3xlarge","3.3","1584.0","3.3","1584.0","12355.2","443.52","2376.00","24520.32","28512.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",12,48,3.5,900000,4096000,""
"华南 2 (河源)","windows","ecs.g6.3xlarge","2.7","1296.0","2.7","1296.0","10108.8","362.88","1944.00","20062.08","23328.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",12,48,3.2,900000,4096000,""
"华南 2 (河源)","windows","ecs.r6.3xlarge","3.582","1717.2","3.582","1717.2","13394.16","480.82","2579.04","26582.26","30909.6","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",12,96,3.2,900000,4096000,""
"华南 2 (河源)","windows","ecs.hfr6.3xlarge","4.375","2100.0","4.375","2100.0","16380.0","588.0","3150.00","32508.0","37800.0","x86","Intel Xeon (Cascade Lake) Platinum 8269CY",12,96,3.5,900000,4096000,""
